XTGL-0803|查询操作日志|查詢操作日誌|Query  Log
XTGL-0900|系统管理|系統管理|System Manager
XTGL-0901|系统构建|系統構建|System Build
XTGL-0902|自助员工信息权限管理|自助員工資訊許可權管理|Employee Self-Help
XTGL-0903|权限管理|許可權管理|Might Manager 
XTGL-0904|自助薪资权限管理|自助薪資許可權管理|Wage Might Self-Help
XTGL-0905|指标管理|指標管理|Item Manager
XTGL-090501|修改|修改|Modify
XTGL-0906|用户管理|用戶管理|User Manager
XTGL-0907|角色管理|角色管理|Role Manager 
XTGL-0908|用户授权| 用戶授權|User Impower
XTGL-0909|新闻公告角色管理|新聞公告角色管理|New Affiche Role  
XTGL-0910|代码管理|代碼管理|Code Manager
XTGL-091001|修改|修改|Modify 
XTGL-0911|新增注册|新增註冊|New Register
XTGL-0912|删除人员数据|刪除人員資料|Delete User
XTGL-0913|刷新缓存|刷新緩存|Refresh Cache
XTGL-0914|整理数据|整理資料|Data Neaten
XTGL-0920|工作流配置|工作流配置|Work Flow Set
XTGL-0921|报表权限管理|報表許可權管理|Report Approbate Manager
XTGL-0922|用户注册| 用戶註冊|User Register 
XTGL-0923|注册审核|註冊審核|Register Audit
XTGL-0930|法规与制度|法規與制度|Law System
XTGL-0931|劳动人事法规|勞動人事法規|Work Law
XTGL-0932|人力资源管理制度|人力資源管理制度|Human Resource System
XTGL-0940|提醒设置| 提醒設置|Awoke Set
XTGL-0941|提醒设置|提醒設置|Awoke Set
XTGL-0943|提醒浏览|提醒流覽|Awoke Browser
XTGL-0950|信息交流平台|資訊交流平臺|Information Communion
XTGL-0951|最新公告|最新公告|New Notice 
XTGL-0952|新闻|新聞|News
XTGL-0953|员工风采|員工風采|Employee Mien 
XTGL-0954|友好链接|友好鏈結|Friend Link
XTGL-0955|建议与反馈|建議與回饋|Advice And Feedback
XTGL-0956|论坛管理|論壇管理|Forum Manager
XTGL-0957|通讯录管理| 通訊錄管理|Address List
XTGL-0958|培训课件管理|培訓課件管理|Training Courseware Manager
XTGL-0959|调查问卷管理|調查問卷管理|Product Enregister
XTGL-095901|管理|管理|Manager
XTGL-0960|日志管理|日誌管理|Log Manager
XTGL-0961|视频播报|視頻播報|Video Play
XTGL-0962|门户应用|門戶應用|Vocation Adhibition
XTGL-0970|领导查询设置|領導查詢設置|Lead Query Set
XTGL-0971|人员查询方案|人員查詢方案|Personnal Query Scheme 
XTGL-1000| 仅显示启用指标集|僅顯示啟用指標集|Only Show Item Set
XTGL-1001| 系统当前信息集列表|系統當前資訊集列表|Current Information List
XTGL-1002|类型|類型|Type
XTGL-1003|范围|範圍|Area
XTGL-1004|记录类型|記錄類型|Record Type
XTGL-1005|显示顺序|顯示順序|Display Order 
XTGL-1006|启用/禁用|啟用/禁用|Start/Stop 
XTGL-1007|按名称排序|按名稱排序|Compositor Order By Name
XTGL-1008|国标代码|國標代碼|Standard Code
XTGL-1009|代码集名称|代碼集名稱| Code Set Name
XTGL-1010|录入标志|錄入標誌|Record Sign 
XTGL-1011|删除人员(注意:删除后无法恢复!) |刪除人員(注意:刪除後無法恢復!)|Delete Person(Notice：Cant't Comeback If Delete)
XTGL-1012|选择人员类别|選擇人員類別|Person Type    
XTGL-1013|姓名或员工编号|姓名或員工編號|Name Or Employee Number
XTGL-1014|缓存管理|缓存管理|Cache Manager 
XTGL-1015|描述|描述|Description
XTGL-1016|更新系统参数|更新系統參數|Udate System Parameter
